problem_id;type;name;role;lb_idx;ub_idx;fixed_idx;active;enforced;weight;exponent;label;
1;param;geom_t_mm;var;0;16;;;;;;1;
1;param;geom_nt;var;0;29;;;;;;1;
1;param;geom_dy_mm;var;0;38;;;;;;1;
1;param;reinf_d_mm;var;0;7;;;;;;1;
1;param;reinf_kap_t_percent;var;0;80;;;;;;1;
1;param;reinf_a_tex_mm2;var;0;399;;;;;;1;
1;param;geom_span_mm;fixed;;;4;;;;;1;
1;param;geom_b_mm;fixed;;;142;;;;;1;
1;param;geom_h_ges_mm;fixed;;;55;;;;;1;
1;param;geom_hx_hges_ratio;fixed;;;2;;;;;1;
1;param;geom_t_infill_mm;fixed;;;0;;;;;1;
1;param;geom_t_screed_mm;fixed;;;0;;;;;1;
1;param;geom_t_insulation_mm;fixed;;;0;;;;;1;
1;param;loads_q_kNm2;fixed;;;30;;;;;1;
1;param;loads_N_kN;fixed;;;2000;;;;;1;2000 = 0 kN
1;param;mat_conc_fck;fixed;;;3;;;;;1;
1;param;mat_reinf_id;fixed;;;2;;;;;1;
1;param;mat_infill_id;fixed;;;0;;;;;1;
1;param;mat_insu_id;fixed;;;0;;;;;1;
1;param;mat_screed_id;fixed;;;0;;;;;1;
1;param;insu_mod_damp;fixed;;;0;;;;;1;
1;param;insu_rw_req_db;fixed;;;1;;;;;1;
1;param;insu_lnw_max_db;fixed;;;0;;;;;1;
1;param;defl_sls_case;fixed;;;1;;;;;1;
1;param;defl_max_defl_limit;fixed;;;0;;;;;1;
1;param;defl_max_announce_failure;fixed;;;0;;;;;1;
1;param;f_beam_theory;fixed;;;4;;;;;1;
1;param;weight_omega_1_gwp;fixed;;;98;;;;;1;
1;param;weight_omega_2_cost;fixed;;;9;;;;;1;
1;param;weight_weighted_equation;fixed;;;1;;;;;1;
1;param;cost_rebar;fixed;;;1;;;;;1;
1;constraint;A_bending_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;B1a_deflection_by_wmax_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;B1b_deflection_by_mcr_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;B2a_failure_announcement_by_wmin_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;B2b_failure_announcement_by_mcr_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;C1_concrete_cover_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;C2_clear_spacing_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;C3_shell_thickness_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;D1_airborne_sound_insulation_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;D2_impact_sound_insulation_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;Z1_nt_dt_combination_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;Z2_beam_theory_H_L_capacity;;;;;True;HIDDEN;1;1;1;
1;constraint;Z3_beam_theory_B_L_capacity;;;;;True;HIDDEN;1;1;1;
